config_id,parity_name,train_avg_U,train_min_U,train_max_U,train_FS_pass,train_edge,test_avg_U,test_min_U,test_max_U,test_FS_pass,test_edge,test_winner_fail_sum,test_winner_fail_parity,test_winner_fail_uniques,test_winner_fail_consecutive,test_winner_fail_mirror_prev,test_draws,train_draws
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":37,""sum_min"":8}",relaxed,94184.67370617272,94182,94228,0.9424456770647804,0.0005989400030532721,94184.62304091187,94182,94228,0.9426012619580705,0.0007550315489517345,79,144,60,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":37,""sum_min"":8}",relaxed,93421.65757467813,93372,93716,0.9357793496514172,0.0015627739046358835,93420.98758396092,93372,93662,0.9348666802361083,0.0006568043964991777,79,144,60,18,42,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":37,""sum_min"":8}",relaxed,94227.05704544298,94227,94228,0.9429036690244771,0.0006330985700472302,94227.0569916548,94227,94228,0.9428048035823325,0.0005342336657845337,79,144,60,18,1,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":37,""sum_min"":8}",allow_all,96983.3704137194,96982,97028,0.9710956185435856,0.0012619144063915622,96983.36495013231,96982,97028,0.9702829228577244,0.00044927335640132515,79,0,60,18,2,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":37,""sum_min"":8}",allow_all,96197.46918731871,96172,96416,0.9640730751615694,0.0020983832883822995,96197.42601261959,96172,96386,0.9623447995115001,0.0003705393853041805,79,0,60,18,42,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":37,""sum_min"":8}",allow_all,97027.0283446135,97027,97028,0.9716044984988041,0.0013342150526691743,97027.0293099939,97027,97028,0.9704864644819866,0.0002161713820475475,79,0,60,18,1,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":37,""sum_min"":8}",relaxed,95054.26935016029,95052,95089,0.9506895323393212,0.0001468388377182661,95054.21229391411,95052,95081,0.9507429269285569,0.0002008039894157987,79,144,1,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":2,""sum_max"":37,""sum_min"":8}",relaxed,94284.22904686784,94242,94569,0.9439723169304362,0.0011300264617577493,94283.57561571342,94242,94515,0.9430083452065947,0.00017258904946049203,79,144,1,18,42,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":4,""sum_max"":37,""sum_min"":8}",balanced_only,53483.350262073174,53472,53508,0.536512136786932,0.001678634166200288,53483.4286586607,53472,53508,0.5349073885609608,7.31019743538397e-05,79,1848,958,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":2,""sum_max"":37,""sum_min"":8}",relaxed,95097.0488015877,95097,95098,0.9511475242990178,0.00017703628314080788,95097.04884998982,95097,95098,0.9509464685528191,-2.4019947079123583e-05,79,144,1,18,1,4913,19651
